Iteration	bicycle	car	freight	pt	ride	walk	zoomer
0	0.17521459523612376	0.3040269382572935	0.0014793960972647733	0.21094642709282108	0.09398029311915211	0.2143523501973448	0.0
1	0.1782175485081836	0.3068642874886147	0.0014793960972647733	0.21289503463884518	0.09398029311915211	0.2193701526317242	0.005144765532278987
2	0.18104937760481354	0.3105020562501725	0.0014793960972647733	0.21449587369931827	0.09398029311915211	0.22381386105820983	0.010979547900968783
3	0.1841351328972427	0.3134774088487759	0.0014793960972647733	0.2163119980127515	0.09398029311915211	0.22876542187629378	0.016902652424719163
4	0.18717120697745024	0.3163589191576274	0.0014793960972647733	0.21784659545692914	0.09398029311915211	0.23342993569043086	0.022577350887361652
5	0.19019072065358394	0.31924042946647896	0.0014793960972647733	0.21959095801937567	0.09398029311915211	0.23787364411691644	0.027904280864453092
6	0.193756727664155	0.3217244900775579	0.0014793960972647733	0.22115315613700975	0.09398029311915211	0.24217934917611988	0.033214650437470676
7	0.1966161574342414	0.32447351715381856	0.0014793960972647733	0.22274847506279152	0.09398029311915211	0.2466285777372968	0.03816069112086335
8	0.1995473489553145	0.32716182274847505	0.0014793960972647733	0.22456459937622478	0.09398029311915211	0.2513096519555077	0.043217134498081754
9	0.20263310424774364	0.32986116861251413	0.0014793960972647733	0.22641384449780574	0.09398029311915211	0.2554276724352074	0.04913471888714085
10	0.20570229913609892	0.3324114708398885	0.0014793960972647733	0.2281471667908697	0.09398029311915211	0.26029091109823077	0.05428500455411112
11	0.20874389335099777	0.3348844911815848	0.0014793960972647733	0.22995777096961165	0.09398029311915211	0.2647953410063206	0.059346968066020814
12	0.21157020231293644	0.33719742761723387	0.0014793960972647733	0.23167453285860176	0.09398029311915211	0.2691562474124369	0.06487262289199856
13	0.214606276393144	0.33943860230189615	0.0014793960972647733	0.23314840882117524	0.09398029311915211	0.2736606773205266	0.07005050923242527
14	0.21802323976705032	0.3420330656068008	0.0014793960972647733	0.2347547680163396	0.09398029311915211	0.27806574480417323	0.07559824459716817
15	0.22094891115343215	0.344522646352571	0.0014793960972647733	0.2365046507134774	0.09398029311915211	0.28249841296127626	0.08070988932129944
16	0.22380834092351853	0.3467803814413072	0.0014793960972647733	0.23795092600259446	0.09398029311915211	0.28654467168998926	0.08551240650271867
17	0.22697137810162568	0.3491761198973255	0.0014793960972647733	0.23957936573652397	0.09398029311915211	0.2907178935166018	0.09070685324721924
18	0.2301454555491154	0.3519085865695123	0.0014793960972647733	0.2412906074908228	0.09398029311915211	0.29471447103309323	0.09622146780381441
19	0.2331980900333968	0.3544257679887389	0.0014793960972647733	0.24289144655129585	0.09398029311915211	0.2990036156882228	0.10095222323424692
20	0.23596367751373135	0.35653445944081036	0.0014793960972647733	0.24444812453423864	0.09398029311915211	0.30293947172311003	0.1058154618972703
21	0.2387458253981397	0.35877011399078135	0.0014793960972647733	0.24600480251718143	0.09398029311915211	0.30685324721923213	0.11046893544202478
22	0.24157765449476967	0.3613811376997599	0.0014793960972647733	0.2476111617123458	0.09398029311915211	0.31097678783362315	0.11521073114183986
23	0.24464132924843365	0.3635726311722006	0.0014793960972647733	0.24941072562170516	0.09398029311915211	0.31491264386851037	0.12012365101708482
24	0.247152990532969	0.36594628908945376	0.0014793960972647733	0.25112748751069525	0.09398029311915211	0.3189423421931495	0.12459496011702685
25	0.24998481962959895	0.3680163395986862	0.0014793960972647733	0.25288289034252437	0.09398029311915211	0.3230051613259364	0.12969004443708426
26	0.25236951781623473	0.37061080290359083	0.0014793960972647733	0.25437884684386297	0.09398029311915211	0.3269520576302062	0.13455880323479893
27	0.2550688636802738	0.37347023267367724	0.0014793960972647733	0.2561563302144572	0.09398029311915211	0.3306505478733681	0.13997405536695096
28	0.2581270182992465	0.37578868924401754	0.0014793960972647733	0.25749772294443984	0.09398029311915211	0.33429383676961716	0.14496425712787392
29	0.2610195688774806	0.3780795451409014	0.0014793960972647733	0.25908752173553035	0.09398029311915211	0.33827385388203474	0.14957356959509813
30	0.26358091137423756	0.3808230520824708	0.0014793960972647733	0.26072700173884245	0.09398029311915211	0.34184538102729706	0.15449200960503437
31	0.2664293008749413	0.3836714415831746	0.0014793960972647733	0.26219535756672463	0.09398029311915211	0.3452623444012034	0.1589688388396677
32	0.2688581601391074	0.38611134111672324	0.0014793960972647733	0.2633932267947338	0.09398029311915211	0.34935828434213795	0.16394800033120807
33	0.27139742209709916	0.3883193949932378	0.0014793960972647733	0.26476222019817286	0.09398029311915211	0.3530512544506086	0.16840826916176754
34	0.274400375369159	0.39084209654715574	0.0014793960972647733	0.26628025723827664	0.09398029311915211	0.3569981507548784	0.1728243769147967
35	0.27693963732715077	0.3931108719052745	0.0014793960972647733	0.26776517347023265	0.09398029311915211	0.3601556677982943	0.1775551323452292
36	0.28021307719908367	0.39491043581463386	0.0014793960972647733	0.269101046065524	0.09398029311915211	0.3634125472661533	0.1820540421186277
37	0.282608815655102	0.39716265076867874	0.0014793960972647733	0.27056388175871493	0.09398029311915211	0.3670723965664762	0.1865363914879523
38	0.28532472192321495	0.39966879191852284	0.0014793960972647733	0.2717065496398112	0.09398029311915211	0.37031823576495265	0.19137754961221054
39	0.28805166846071045	0.40214733239491046	0.0014793960972647733	0.27311970412078057	0.09398029311915211	0.37379040048577183	0.19558389224697081
40	0.2906792525737628	0.40397449697772625	0.0014793960972647733	0.2742899726753333	0.09398029311915211	0.3772128839943695	0.19974055366950955
41	0.2933454776296542	0.4061163092379454	0.0014793960972647733	0.27576936877259806	0.09398029311915211	0.3802986392867986	0.20433882586735116
