Iteration	bicycle	car	freight	pt	ride	walk	zoomer
0	0.17521459523612376	0.3040269382572935	0.0014793960972647733	0.21094642709282108	0.09398029311915211	0.2143523501973448	0.0
1	0.1751980348320499	0.3012392702381938	0.0014793960972647733	0.20732521873533713	0.09398029311915211	0.21563302144572327	0.005144765532278987
2	0.17477298446082085	0.30074245811597805	0.0014793960972647733	0.20416770169192128	0.09398029311915211	0.21441859181364026	0.01043857470122271
3	0.1741878501835445	0.2991692197289614	0.0014793960972647733	0.20237365791725317	0.09398029311915211	0.21355745080179955	0.01525213215202451
4	0.1741712897794706	0.2985123237006983	0.0014793960972647733	0.19980127515111368	0.09398029311915211	0.21271287019403273	0.01934255195826778
5	0.17347575280836852	0.29796583036626095	0.0014793960972647733	0.19937622477988462	0.09398029311915211	0.2109298666887472	0.022792636140321825
6	0.17369655819601998	0.29619938726504924	0.0014793960972647733	0.19831635891915764	0.09398029311915211	0.20993072230962437	0.026397284093731887
7	0.1731942259391129	0.2957743368938202	0.0014793960972647733	0.19736689575225635	0.09398029311915211	0.20928486655074383	0.028919985647649804
8	0.1726698131434407	0.29513952140432226	0.0014793960972647733	0.19615246612017334	0.09398029311915211	0.2090475007590185	0.0315310093566283
9	0.17212883994369463	0.2940189340619911	0.0014793960972647733	0.19526372443487622	0.09398029311915211	0.20745218183323674	0.03567663050978444
10	0.17150506472357926	0.2921531285363363	0.0014793960972647733	0.19467859015759983	0.09398029311915211	0.2079103530126135	0.038293174353454223
11	0.17232756479258093	0.29086141701857526	0.0014793960972647733	0.19333719742761724	0.09398029311915211	0.20704369186608154	0.04097043967872816
12	0.17202947751925146	0.2901493196433993	0.0014793960972647733	0.19232149264442053	0.09398029311915211	0.2068504871518865	0.04318953382462532
13	0.1719742761723386	0.28963042698241837	0.0014793960972647733	0.19174187850183544	0.09398029311915211	0.2063647152990533	0.0448290138279374
14	0.17189699428666058	0.2879136650934283	0.0014793960972647733	0.19121746570616324	0.09398029311915211	0.2060721481604151	0.0474400375369159
15	0.17150506472357926	0.28731749054676936	0.0014793960972647733	0.19067097237172587	0.09398029311915211	0.2058403025033811	0.04920648063812757
16	0.1707543264055643	0.28832767519527475	0.0014793960972647733	0.18953934476001214	0.09398029311915211	0.20548149374844746	0.05043747067428445
17	0.17133394054814938	0.28730645027738677	0.0014793960972647733	0.18872236482570176	0.09398029311915211	0.20496260108746653	0.05221495404487869
18	0.17075984654025558	0.2862686649554249	0.0014793960972647733	0.18852916011150672	0.09398029311915211	0.2043222654632773	0.0546603737131186
19	0.17070464519334272	0.2838563660953327	0.0014793960972647733	0.18855124065027187	0.09398029311915211	0.2048466782589495	0.05658138058568629
20	0.17019127266705308	0.28454086279705226	0.0014793960972647733	0.18802130771990835	0.09398029311915211	0.204084899671552	0.05770196792801744
21	0.17075984654025558	0.283900527172863	0.0014793960972647733	0.18765145869559216	0.09398029311915211	0.20372057078192707	0.05850790759294527
22	0.16969998067952857	0.2838453258259502	0.0014793960972647733	0.18728160967127597	0.09398029311915211	0.20380889293698767	0.059904501669840744
23	0.17004222903038835	0.2822831277083161	0.0014793960972647733	0.18687863983881206	0.09398029311915211	0.20333416135353702	0.0620021528525296
24	0.16929149071237337	0.28084237255389033	0.0014793960972647733	0.18734785128757142	0.09398029311915211	0.20359912781871878	0.06345946841102923
25	0.16930805111644723	0.2798873892522978	0.0014793960972647733	0.18693384118572492	0.09398029311915211	0.20311335596588556	0.06529767326322762
26	0.1688388396676879	0.2799425905992106	0.0014793960972647733	0.18640390825536143	0.09398029311915211	0.20324031906378515	0.06611465319753802
27	0.16811018188843807	0.2793353757831691	0.0014793960972647733	0.1869007203775772	0.09398029311915211	0.20258894317021336	0.06760508956418537
28	0.16745880599486626	0.27926361403218236	0.0014793960972647733	0.18627694515746185	0.09398029311915211	0.2026110237089785	0.06892992189009411
29	0.1674422455907924	0.27859015759984546	0.0014793960972647733	0.18554828737821202	0.09398029311915211	0.20282630896193868	0.07013331125279457
30	0.16719935966437582	0.2784024730203417	0.0014793960972647733	0.18501283431315724	0.09398029311915211	0.2023681377825619	0.07155750600314648
31	0.16753608788054428	0.2786343186773757	0.0014793960972647733	0.18488587121525765	0.09398029311915211	0.20158427865639922	0.07189975435400624
32	0.16680743010129448	0.2778559796859043	0.0014793960972647733	0.18432281747674642	0.09398029311915211	0.20209765118268885	0.07345643233694903
33	0.1668681515828986	0.27585217079296737	0.0014793960972647733	0.18509563633352655	0.09398029311915211	0.20198172835417183	0.07474262372001877
34	0.16772929259473932	0.27452181833236733	0.0014793960972647733	0.18440009936242444	0.09398029311915211	0.20221909414589717	0.07567000634815489
35	0.16698407441141563	0.2743065330794071	0.0014793960972647733	0.1846650658276062	0.09398029311915211	0.2022466948193536	0.07633794264580056
36	0.1678231348844912	0.2739146035163258	0.0014793960972647733	0.18415721343600783	0.09398029311915211	0.20118682895862658	0.07745852998813171
37	0.16656454417487787	0.27294857994535066	0.0014793960972647733	0.1836824818525572	0.09398029311915211	0.20177748337059423	0.07956722144020315
38	0.1670834368358588	0.2726836134801689	0.0014793960972647733	0.18325191134663685	0.09398029311915211	0.20091634235875355	0.08060500676216499
39	0.16648174215450856	0.27225304297424857	0.0014793960972647733	0.18343407579144932	0.09398029311915211	0.20201484916231957	0.0803566007010571
40	0.1672876818194364	0.27148574425215977	0.0014793960972647733	0.18260053545306507	0.09398029311915211	0.20099362424443157	0.08217272501449036
41	0.16756920868869202	0.2704093179873589	0.0014793960972647733	0.18264469653059534	0.09398029311915211	0.20039192956308133	0.08352515801385554
42	0.16716623885622808	0.26911760646959787	0.0014793960972647733	0.18205956225331899	0.09398029311915211	0.2013027517871436	0.08489415141729459
43	0.16634373878722641	0.26858215340454306	0.0014793960972647733	0.1829041428610858	0.09398029311915211	0.2015456377135602	0.08516463801716762
44	0.1658634870690845	0.26670530760950567	0.0014793960972647733	0.18299798515083768	0.09398029311915211	0.20239021832132703	0.08658331263282824
45	0.16479258093897492	0.2683392674781265	0.0014793960972647733	0.18257845491429991	0.09398029311915211	0.20194860754602412	0.08688139990615772
46	0.1645496950125583	0.2668101901686401	0.0014793960972647733	0.18312494824873726	0.09398029311915211	0.20247854047638764	0.0875769368772598
