Iteration	bicycle	car	freight	pt	ride	walk
0	0.17521459523612376	0.3040269382572935	0.0014793960972647733	0.21094642709282108	0.09398029311915211	0.2143523501973448
1	0.17655598796610636	0.30187408572769175	0.0014793960972647733	0.20788275233915707	0.09398029311915211	0.21822748475062792
2	0.17694239739449644	0.3017692031685573	0.0014793960972647733	0.20574094007893792	0.09398029311915211	0.22008777014159145
3	0.1773232866881952	0.30226601529077307	0.0014793960972647733	0.20480251718141923	0.09398029311915211	0.2201484916231956
4	0.17822306864287488	0.30189064613176564	0.0014793960972647733	0.2038751345532831	0.09398029311915211	0.22055146145565951
5	0.17869228009163424	0.3025199414865723	0.0014793960972647733	0.20373161105130966	0.09398029311915211	0.21959647815406697
6	0.17853219618558694	0.3024316193315117	0.0014793960972647733	0.2036267284921752	0.09398029311915211	0.2199497667743093
7	0.17818994783472716	0.3023764179845988	0.0014793960972647733	0.20384753387982668	0.09398029311915211	0.22012641108443046
8	0.179150451271011	0.30216665286632993	0.0014793960972647733	0.20348320499020175	0.09398029311915211	0.2197400016560404
9	0.17979630702989152	0.3013717534707847	0.0014793960972647733	0.20343904391267148	0.09398029311915211	0.21993320637023545
10	0.17981286743396538	0.3020396897684304	0.0014793960972647733	0.20276558748033452	0.09398029311915211	0.21992216610085286
11	0.17971350500952224	0.3020672904418868	0.0014793960972647733	0.2028870304435428	0.09398029311915211	0.2198724848886313
12	0.1799343103971737	0.3023929783886727	0.0014793960972647733	0.20204796997046728	0.09398029311915211	0.22016505202726946
13	0.17981286743396538	0.30223841461731665	0.0014793960972647733	0.2020755706439237	0.09398029311915211	0.22041345808837737
14	0.1795147801606359	0.30110126687091165	0.0014793960972647733	0.2024509398029312	0.09398029311915211	0.22147332394910435
15	0.1798846291849521	0.3013055118544892	0.0014793960972647733	0.2019099666031851	0.09398029311915211	0.22144020314095664
16	0.1793160553117496	0.30117854875658967	0.0014793960972647733	0.20233501697441417	0.09398029311915211	0.22171068974082966
17	0.1809555353150617	0.3008031795975822	0.0014793960972647733	0.20243437939885733	0.09398029311915211	0.2203472164720819
18	0.18170075349838535	0.3009246225607905	0.0014793960972647733	0.20182164444812453	0.09398029311915211	0.22009329027628274
19	0.18000607214816042	0.30069829703844775	0.0014793960972647733	0.20278766801909967	0.09398029311915211	0.2210482735778753
20	0.18112665949049156	0.29902569622698794	0.0014793960972647733	0.20242885926416604	0.09398029311915211	0.22195909580193757
21	0.18121498164555216	0.29975987414092903	0.0014793960972647733	0.20181612431343324	0.09398029311915211	0.22174933068366867
22	0.18141922662912974	0.2993293036350087	0.0014793960972647733	0.20209213104799756	0.09398029311915211	0.2216996494714471
23	0.1809444950456791	0.29986475670006346	0.0014793960972647733	0.20304711434959014	0.09398029311915211	0.2206839446882504
24	0.18180011592282852	0.29987579696944605	0.0014793960972647733	0.20205349010515858	0.09398029311915211	0.22081090778614998
25	0.18088377356407495	0.3002290855896884	0.0014793960972647733	0.2013413927299826	0.09398029311915211	0.22208605889983715
26	0.18071816952333636	0.30029532720598384	0.0014793960972647733	0.20223565454997103	0.09398029311915211	0.2212911595042919
27	0.1811597802986393	0.2988876928597058	0.0014793960972647733	0.20255582236206562	0.09398029311915211	0.22193701526317242
28	0.18154066959233806	0.3000745218183324	0.0014793960972647733	0.20259998343959593	0.09398029311915211	0.22032513593331676
29	0.18173387430653307	0.3004002097651183	0.0014793960972647733	0.2027269465374955	0.09398029311915211	0.21967928017443625
30	0.18138058568629076	0.29984267616129834	0.0014793960972647733	0.2033396814882283	0.09398029311915211	0.21997736744776572
31	0.1820540421186277	0.299566669426734	0.0014793960972647733	0.20311887610057686	0.09398029311915211	0.21980072313764457
32	0.18182219646159367	0.29872208881896717	0.0014793960972647733	0.20353840633711462	0.09398029311915211	0.22045761916590764
33	0.18248461262454804	0.2978167867295962	0.0014793960972647733	0.2036708895697055	0.09398029311915211	0.22056802185973337
34	0.1832850321547846	0.2976456625541663	0.0014793960972647733	0.20305263448428143	0.09398029311915211	0.2205569815903508
35	0.1836493610444095	0.29748557864811903	0.0014793960972647733	0.20389721509204825	0.09398029311915211	0.2195081559990064
36	0.18346167646490574	0.2976070216113273	0.0014793960972647733	0.20349424525958434	0.09398029311915211	0.21997736744776572
37	0.1840909718197124	0.2965913168281306	0.0014793960972647733	0.20421738290414287	0.09398029311915211	0.21964063923159724
38	0.18475338798266677	0.2970053269299771	0.0014793960972647733	0.2034776848555105	0.09398029311915211	0.2193039110154288
39	0.1854765256272253	0.29568049460406837	0.0014793960972647733	0.20339488283514118	0.09398029311915211	0.2199884077171483
40	0.18501835444784853	0.29599514228147167	0.0014793960972647733	0.20386409428390054	0.09398029311915211	0.2196627197703624
41	0.18410753222378626	0.29624354834257954	0.0014793960972647733	0.20451547017747232	0.09398029311915211	0.21967376003974498
42	0.1844608208440286	0.2968342027545472	0.0014793960972647733	0.20392481576550467	0.09398029311915211	0.21932047141950264
43	0.18395296845243023	0.2960834644365323	0.0014793960972647733	0.205299329303635	0.09398029311915211	0.21920454859098562
44	0.1840578510115647	0.29723165245231986	0.0014793960972647733	0.20539317159338688	0.09398029311915211	0.21785763572631173
45	0.18395848858712152	0.2964864342689962	0.0014793960972647733	0.20545389307499104	0.09398029311915211	0.2186414948524744
46	0.18458778394192818	0.2960724241671497	0.0014793960972647733	0.20545389307499104	0.09398029311915211	0.21842620959951423
47	0.18465402555822363	0.29512296100024843	0.0014793960972647733	0.2056305373851122	0.09398029311915211	0.2191327868399989
48	0.18484171013772735	0.29502359857580523	0.0014793960972647733	0.20586238304214624	0.09398029311915211	0.21881261902790428
49	0.18414617316662527	0.29473103143716706	0.0014793960972647733	0.20598934614004583	0.09398029311915211	0.21967376003974498
50	0.18431729734205515	0.2952444039634567	0.0014793960972647733	0.20595070519720682	0.09398029311915211	0.21902790428086447
51	0.18371008252601365	0.29548728988987333	0.0014793960972647733	0.20615495018078442	0.09398029311915211	0.21918798818691176
52	0.18341199525268417	0.2962656288813447	0.0014793960972647733	0.20564157765449476	0.09398029311915211	0.21922110899505948
53	0.18336783417515387	0.29605034362838456	0.0014793960972647733	0.20612734950732797	0.09398029311915211	0.21899478347271673
54	0.18396400872181282	0.29430046093124673	0.0014793960972647733	0.20687808782534295	0.09398029311915211	0.21939775330518066
55	0.1838867268361348	0.293323397090889	0.0014793960972647733	0.20753498385360603	0.09398029311915211	0.21979520300295327
56	0.18370456239132235	0.29342827965002344	0.0014793960972647733	0.20763986641274046	0.09398029311915211	0.21976760232949685
57	0.18330159255885844	0.29346692059286245	0.0014793960972647733	0.2082029201512517	0.09398029311915211	0.21956887748061052
