ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	116.45414286424436	116.45414286424436	116.45414286424436	116.45414286424436
1	115.1554912546365	115.15283959900933	115.79949295877718	116.44614631854608
2	114.41613584928666	113.8721776126554	115.17983463384567	116.44245330188116
3	113.97575203264554	112.60469393489527	114.57554393844634	116.43852971635337
4	113.70081549946148	111.39791571940735	114.03609765587512	116.43801355243687
5	113.52406677498706	110.27575900701744	113.54221108508932	116.43687749941914
6	113.3964290056285	109.22092593228251	113.07815065810952	116.43690894030732
7	113.22017334398905	108.19533049183273	112.6497411077036	116.43827583798955
8	113.0813756086975	107.12717750915273	112.22216109505312	116.43876262084099
9	112.95471926429211	106.12100481414092	111.81107669228216	116.44277793092493
10	112.81599602620322	105.1400092005743	111.42446556490727	116.44191113802279
11	112.80268675027688	104.35633950678705	111.11882657294167	116.44080990758988
12	112.65603995153286	103.51735708816743	110.81070268700147	116.44073136514555
13	112.46984569333546	102.74934186109331	110.51656535179663	116.44155781971274
14	112.42911613254581	101.98466553826432	110.25683439306059	116.44521002017618
15	112.37761167778584	101.34386942955999	110.01204075354889	116.44542387668346
16	112.31968025195698	100.77412073578822	109.80705995928315	116.44643880927838
17	112.30340858419999	100.3003746108697	109.63550863801268	116.44696083472819
18	112.21644433618673	99.80451846076718	109.46609106379351	116.44512868665925
19	112.14489354168967	99.42836386431338	109.32227697327849	116.44957052256902
20	112.04732335192372	99.06670436941168	109.2044911409441	116.44979952360453
21	112.10234090337582	98.86637205865632	109.13192844708891	116.44770448823272
22	112.03495178072335	98.64749487790606	109.04266503709144	116.45060846811057
23	112.15866538216515	98.45625850918395	108.99291602555783	116.4526231091567
24	112.15510711442468	98.29194165756496	108.94282997031691	116.4509755385231
25	111.96163564008637	98.06909244039102	108.88530346665561	116.45513187516144
26	112.07593329989388	98.08163753273257	108.88377723751675	116.45394041072647
27	111.94320537629903	98.07089554822336	108.88833760718308	116.45698049902343
28	112.27109893313579	98.23824555426674	108.94097512311212	116.45997479033018
29	112.20547916491086	98.27979898856816	108.98252513369161	116.46005922735284
30	112.1226336239797	98.41807986485225	109.02585350443225	116.46076687389971
31	112.22601659748513	98.54290066132415	109.11325344912731	116.46076472885157
32	112.27371153323249	98.77449614463818	109.19785087069182	116.4625220351897
33	112.2940895097856	98.94023949411265	109.27567258085946	116.46362845872396
34	112.34243352039816	99.18339000407163	109.3740439766154	116.46249891547016
35	112.29321653143532	99.48906004291571	109.47456781259947	116.46514820607143
36	112.37265777424682	99.89686663373924	109.60116511051571	116.46354600010866
37	112.49577455282915	100.19227535494433	109.72463805005148	116.46671835261586
38	112.47811514760292	100.44564686688841	109.82476923373555	116.46807183486507
39	112.58281887864575	100.79775902713192	109.96757188710671	116.46930721854928
