Iteration	bicycle	car	freight	pt	ride	walk
0	0.17521459523612376	0.3040269382572935	0.0014793960972647733	0.21094642709282108	0.09398029311915211	0.2143523501973448
1	0.17966382379730064	0.3075929452678645	0.0014793960972647733	0.21346912864673898	0.09398029311915211	0.22078330711269356
2	0.18382048521983937	0.3111423918743617	0.0014793960972647733	0.21579310535177057	0.09398029311915211	0.22753995197482818
3	0.18831387485854656	0.315116888852088	0.0014793960972647733	0.21828820623223208	0.09398029311915211	0.23407027131462008
4	0.19292870746046203	0.3185724931688333	0.0014793960972647733	0.22061770307195497	0.09398029311915211	0.24075515442576798
5	0.19703016753608787	0.32231514448952553	0.0014793960972647733	0.2228036764097044	0.09398029311915211	0.24671689989235737
6	0.2009384228975187	0.32593635284700945	0.0014793960972647733	0.22527669675140075	0.09398029311915211	0.25279456818746376
7	0.20512268499351385	0.3294416383759764	0.0014793960972647733	0.22750683116668047	0.09398029311915211	0.2584968673235627
8	0.20913030277938782	0.3329524440396346	0.0014793960972647733	0.22956032127183904	0.09398029311915211	0.2648119014103944
9	0.21352432999365184	0.3364963705114405	0.0014793960972647733	0.23188981811156192	0.09398029311915211	0.2708012475504402
10	0.21784659545692914	0.3399574949628771	0.0014793960972647733	0.23398746929425077	0.09398029311915211	0.27695619773122465
11	0.2215782065082388	0.34343517981838756	0.0014793960972647733	0.23636112721150396	0.09398029311915211	0.2824818525572024
12	0.22527117661670945	0.34696806602081093	0.0014793960972647733	0.23876790593690486	0.09398029311915211	0.28849879937070466
13	0.22958792194529545	0.3503519085865695	0.0014793960972647733	0.24077171482984186	0.09398029311915211	0.29391957163754795
14	0.23329193232314868	0.3533714222627032	0.0014793960972647733	0.24309569153487345	0.09398029311915211	0.3000469211448759
15	0.23718362728050565	0.3566559024040187	0.0014793960972647733	0.2454472689133615	0.09398029311915211	0.30574922028097484
16	0.2404625872871298	0.35980237917805197	0.0014793960972647733	0.24761668184703706	0.09398029311915211	0.31130247578040904
17	0.24431012116695647	0.3628384532582595	0.0014793960972647733	0.24994065855206868	0.09398029311915211	0.31659628494935277
18	0.24853854434048192	0.3661781347464878	0.0014793960972647733	0.2518285446164886	0.09398029311915211	0.32207225856310895
19	0.25191686677154923	0.36950677596533354	0.0014793960972647733	0.25393723606856006	0.09398029311915211	0.3274433496177307
20	0.2557423201126107	0.37203499765394277	0.0014793960972647733	0.2561232094063095	0.09398029311915211	0.3329358836355607
21	0.2593966492782424	0.37541884021970134	0.0014793960972647733	0.25828158207060253	0.09398029311915211	0.3377936021638928
22	0.2629019348072093	0.37835555187546577	0.0014793960972647733	0.2604785956777345	0.09398029311915211	0.3433302972592531
23	0.26577792498136954	0.38129226353123014	0.0014793960972647733	0.26255416632165823	0.09398029311915211	0.3485247440037537
24	0.2695702575142834	0.38451050205625015	0.0014793960972647733	0.26462973696558195	0.09398029311915211	0.35368054980541525
25	0.27292097927189424	0.3872153680549805	0.0014793960972647733	0.26657834451160606	0.09398029311915211	0.35925588584361456
26	0.27605089564185364	0.3902956032127184	0.0014793960972647733	0.26902376417984597	0.09398029311915211	0.36407496342910767
27	0.2795727415748944	0.3931991940603351	0.0014793960972647733	0.2713422207501863	0.09398029311915211	0.36955093704286385
28	0.28291794319781405	0.3959979023488173	0.0014793960972647733	0.2735171538185532	0.09398029311915211	0.3744969777262565
29	0.2862134636085121	0.39957494962877094	0.0014793960972647733	0.27560376473185944	0.09398029311915211	0.3787861223813861
30	0.28964698738649225	0.402947751925147	0.0014793960972647733	0.27765725483701803	0.09398029311915211	0.3831525489221937
31	0.2928762661808948	0.40609974883387157	0.0014793960972647733	0.2794788992851426	0.09398029311915211	0.38815931108719054
32	0.29664651817504345	0.40906958129778365	0.0014793960972647733	0.28130054373326707	0.09398029311915211	0.3927851839584886
33	0.30036156882227927	0.41148188015787585	0.0014793960972647733	0.283033866026331	0.09398029311915211	0.39736137561756507
34	0.30387789462062875	0.41461179652783525	0.0014793960972647733	0.28498799370704647	0.09398029311915211	0.40199276862355443
35	0.3073279788026828	0.4173001021224918	0.0014793960972647733	0.28684827909801	0.09398029311915211	0.4061328696420193
36	0.3107946233888107	0.4197786425988794	0.0014793960972647733	0.28869752421959094	0.09398029311915211	0.4101018464850542
37	0.313941100162844	0.42225166294057576	0.0014793960972647733	0.29037012503105075	0.09398029311915211	0.414799481107339
38	0.3176064695978582	0.4255251028125086	0.0014793960972647733	0.2921144875934973	0.09398029311915211	0.41905550495432087
39	0.3210731141839861	0.4281030057133394	0.0014793960972647733	0.29390853136816536	0.09398029311915211	0.42315144489525547
40	0.32406502718666336	0.4308741133283652	0.0014793960972647733	0.29588473958764594	0.09398029311915211	0.4272805056443377
41	0.32744886975242193	0.4337335430984516	0.0014793960972647733	0.2976843034970053	0.09398029311915211	0.43176285501366235
42	0.3305732659876901	0.43685241919902845	0.0014793960972647733	0.299257541884022	0.09398029311915211	0.43620104330545667
43	0.33394054814937485	0.4397449697772626	0.0014793960972647733	0.3012392702381938	0.09398029311915211	0.4401479396097265
44	0.337142226270321	0.44243327537191907	0.0014793960972647733	0.3029615522618752	0.09398029311915211	0.44390163119980125
45	0.3404653473544754	0.4454472689133615	0.0014793960972647733	0.3044906295713615	0.09398029311915211	0.4478485275040711
46	0.34376086776517345	0.4481410946427093	0.0014793960972647733	0.30620739146035164	0.09398029311915211	0.4516960613838978
47	0.34698462642488476	0.45063619552317075	0.0014793960972647733	0.30812287819822803	0.09398029311915211	0.45589136374927547
